Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	995	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1049	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1018	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	872	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	873	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1127	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	894	0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	1060	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1051	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	984	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	977	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1089	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1054	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1041	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1175	-0.000	-0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	1174	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1126	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1082	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1025	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1110	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1109	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	892	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	891	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	943	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	902	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	898	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	988	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	931	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
